Frame,FrameTime(ms),ThreadName,SampleName,TotalTime(ms),SelfTime(ms),GCAlloc(bytes),CallCount
984,1.319,Main Thread (),PlayerLoop,0.599,0.000,0,3
984,1.319,Main Thread (),  RenderPlayModeViewCameras,0.548,0.004,0,1
984,1.319,Main Thread (),    UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke],0.534,0.005,0,1
984,1.319,Main Thread (),      Inl_UniversalRenderTotal,0.529,0.005,0,1
984,1.319,Main Thread (),        Inl_RenderCameraStack,0.523,0.015,0,1
984,1.319,Main Thread (),          Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera,0.385,0.022,0,1
984,1.319,Main Thread (),          Inl_ScriptableRenderContext.Submit,0.100,0.012,0,1
984,1.319,Main Thread (),          Inl_UpdateVolumeFramework,0.009,0.001,0,1
984,1.319,Main Thread (),          Inl_UniversalRenderPipeline.CreateCameraData,0.005,0.003,0,1
984,1.319,Main Thread (),          Inl_RenderPipeline.EndCameraRendering,0.004,0.001,0,1
984,1.319,Main Thread (),          Inl_UniversalRenderPipeline.InitializeAdditionalCameraData,0.004,0.004,0,1
984,1.319,Main Thread (),          Inl_RenderPipeline.BeginCameraRendering,0.000,0.000,0,1
984,1.319,Main Thread (),        Inl_UniversalRenderPipeline.SetupPerFrameShaderConstants,0.001,0.001,0,1
984,1.319,Main Thread (),        Inl_RenderPipeline.EndContextRendering,0.000,0.000,0,1
984,1.319,Main Thread (),        Inl_RenderPipeline.BeginContextRendering,0.000,0.000,0,1
984,1.319,Main Thread (),    PlayerEndOfFrame,0.007,0.000,0,1
984,1.319,Main Thread (),      Profiler.ScreenshotUpdate,0.007,0.002,0,1
984,1.319,Main Thread (),        Profiler.FrameMetadata,0.005,0.005,0,3
984,1.319,Main Thread (),      CoroutinesDelayedCalls,0.000,0.000,0,1
984,1.319,Main Thread (),      FrameEvents.XREndFrame,0.000,0.000,0,1
984,1.319,Main Thread (),    DestroyCullResults,0.002,0.001,0,1
984,1.319,Main Thread (),      RenderLoop.CleanupNodeQueue,0.000,0.000,0,2
984,1.319,Main Thread (),    FrameEvents.OnBeforeRenderCallback,0.001,0.000,0,1
984,1.319,Main Thread (),      UnityEngine.CoreModule.dll!UnityEngine::Application.InvokeOnBeforeRender() [Invoke],0.000,0.000,0,1
984,1.319,Main Thread (),    FrameEvents.NewInputBeforeRenderUpdate,0.000,0.000,0,1
984,1.319,Main Thread (),      UnityEngine.InputModule.dll!UnityEngineInternal.Input::NativeInputSystem.ShouldRunUpdate() [Invoke],0.000,0.000,0,1
984,1.319,Main Thread (),    UnityEngine.CoreModule.dll!UnityEngine.Rendering::SupportedRenderingFeatures.IsUIOverlayRenderedBySRP() [Invoke],0.000,0.000,0,1
984,1.319,Main Thread (),    Gfx.EndAsyncJobFrame,0.000,0.000,0,1
